StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,AL,159438.0,179675.0,194566.3,196275.0,192641.2,184587.8,211004.6,197232.3,190698.8,182455.7,182356.4,174470.1
California,CA,31471.1,63589.3,59971.0,66493.1,63408.6,47302.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,FL,0.0,0.0,61187.2,49297.0,104532.3,44910.2,97815.5,34898.0,27370.7,28689.7,48694.0,80113.2
Indiana,IN,47897.7,69441.0,76961.3,96473.6,67234.9,59748.8,66917.7,72132.4,80787.8,89230.4,87354.7,54180.2
Minnesota,MN,35236.0,48814.0,54729.0,87760.0,103114.9,104850.4,103763.3,170037.1,112102.6,113915.2,65027.8,73736.1
Missouri,MO,213418.8,261182.6,226141.9,212474.1,119725.1,114086.2,107558.0,88345.8,88495.9,86304.3,86480.0,79165.4
New York,NY,34798.7,31254.0,44386.6,50635.0,54318.2,47383.5,49316.8,57066.5,51959.2,80124.9,69327.6,46644.5
Pennsylvania,PA,44814.6,54450.3,59640.1,27984.8,21540.7,21593.7,22141.0,23791.0,24052.0,20521.0,15760.0,15714.0
Texas,TX,16007.5,16367.2,13751.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,SC,0.0,0.0,0.0,17127.8,23878.1,21343.4,30289.9,29492.4,28915.7,30034.5,33226.5,5620.1
